scope,label,pair,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_defined,rise_defined,recovery_defined,_params
global,all,behavior_person_a__neural_person_a,0.9045854173679508,6.5,3.2989690721649487,0.27981442042048965,34.0,1.0,9.0,4.070533998686995,0.47657384851022633,0.18213058419243985,1.1379369737079408,36.0,1,1,1,"{'threshold': 0.6742776452360456, 'hz': 1.0, 'wcc_window_sec': 10.0}"
global,all,behavior_person_a__neural_person_b,0.9413651597182056,7.5,3.2989690721649487,0.23184439546430963,40.0,1.0,5.0,4.193782206730324,0.5539614809430439,0.23024054982817868,1.1331302609314202,26.0,1,1,1,"{'threshold': 0.6722305336263115, 'hz': 1.0, 'wcc_window_sec': 10.0}"
global,all,behavior_person_b__neural_person_a,0.8958200789786994,7.8,4.123711340206186,0.25932570425837764,36.0,2.0,3.0,4.090435886053551,0.5296747813426009,0.2542955326460481,1.3086806962080861,40.0,1,1,1,"{'threshold': 0.6805593536127016, 'hz': 1.0, 'wcc_window_sec': 10.0}"
global,all,behavior_person_b__neural_person_b,0.9188768741870392,6.0,2.4742268041237114,0.22655503526540874,42.0,157.0,7.0,4.029342441666545,0.42042870920765296,0.14432989690721648,1.2198564213903476,43.0,1,1,1,"{'threshold': 0.6841902930251519, 'hz': 1.0, 'wcc_window_sec': 10.0}"
segment,PreTask,behavior_person_a__neural_person_a,0.9045854173679508,7.25,3.404255319148936,0.31480030335067766,34.0,1.0,9.0,4.05717377769154,0.46785570057214143,0.20567375886524822,1.1081741740358326,36.0,1,1,1,"{'threshold': 0.6742776452360456, 'hz': 1.0, 'wcc_window_sec': 10.0}"
segment,PreTask,behavior_person_a__neural_person_b,0.9318470792196489,7.0,2.553191489361702,0.21075939090121948,40.0,17.0,10.0,4.217550519142451,0.5759229924048187,0.18439716312056736,1.314703117141986,26.0,1,1,1,"{'threshold': 0.6722305336263115, 'hz': 1.0, 'wcc_window_sec': 10.0}"
segment,PreTask,behavior_person_b__neural_person_a,0.879588718248159,5.5,3.404255319148936,0.15144208652866575,36.0,1.0,4.0,4.149638521173979,0.48241566733042324,0.1702127659574468,1.2108607655596708,40.0,1,1,1,"{'threshold': 0.6805593536127016, 'hz': 1.0, 'wcc_window_sec': 10.0}"
segment,PreTask,behavior_person_b__neural_person_b,0.8127346292284199,4.333333333333333,2.553191489361702,0.2354309752123308,42.0,10.0,2.0,3.995176272812315,0.42983231492736035,0.11347517730496454,1.2665743271974956,43.0,1,0,1,"{'threshold': 0.6841902930251519, 'hz': 1.0, 'wcc_window_sec': 10.0}"
segment,Task,behavior_person_a__neural_person_a,0.8989399943653509,5.75,3.404255319148936,0.2527469513787973,41.0,10.0,5.0,4.0372347342639925,0.5005138329466643,0.1702127659574468,0.8331849873894195,39.0,1,0,1,"{'threshold': 0.6742776452360456, 'hz': 1.0, 'wcc_window_sec': 10.0}"
segment,Task,behavior_person_a__neural_person_b,0.9413651597182077,7.8,4.25531914893617,0.30081335838689655,21.0,28.0,5.0,4.096049437234013,0.541530375696689,0.2907801418439716,0.8248138571449737,21.0,1,1,1,"{'threshold': 0.6722305336263115, 'hz': 1.0, 'wcc_window_sec': 10.0}"
segment,Task,behavior_person_b__neural_person_a,0.8958200789787018,9.0,4.680851063829787,0.36939519269373156,32.0,51.0,3.0,3.939758483246346,0.5989061463924373,0.3475177304964539,0.612398149963823,32.0,1,1,1,"{'threshold': 0.6805593536127016, 'hz': 1.0, 'wcc_window_sec': 10.0}"
segment,Task,behavior_person_b__neural_person_b,0.9188768741870423,7.666666666666667,2.553191489361702,0.24938138243420188,47.0,1.0,7.0,3.933210159528902,0.413571540980301,0.18439716312056736,0.8551315688243535,43.0,1,1,1,"{'threshold': 0.6841902930251519, 'hz': 1.0, 'wcc_window_sec': 10.0}"
